Word,WordRaw,British,American,MeaningRaw,Book,Grade,Semester,SourceFile,SourceRow
windy,windy,[ˈwɪndi],[ˈwɪndi],adj. 多风的，有风的；腹胀的；吹牛的,2年级下,2,下,人教版一年级起点二年级下.xlsx,12
sunny,sunny,[ˈsʌni],[ˈsʌni],adj. 阳光充足的，和煦的；快活的；性情开朗的,2年级下,2,下,人教版一年级起点二年级下.xlsx,13
umbrella,umbrella,[ʌmˈbrelə],[ʌmˈbrelə],n. 雨伞；保护伞；庇护；伞形结构,2年级下,2,下,人教版一年级起点二年级下.xlsx,14
weather,weather,[ˈweðə(r)],[ˈweðər],"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨",2年级下,2,下,人教版一年级起点二年级下.xlsx,15
wow,wow,[waʊ],[waʊ],"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀",2年级下,2,下,人教版一年级起点二年级下.xlsx,16
let's,let's,,,让我们（let us的简写）,2年级下,2,下,人教版一年级起点二年级下.xlsx,17
spring,spring,[sprɪŋ],[sprɪŋ],"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开",2年级下,2,下,人教版一年级起点二年级下.xlsx,18
summer,summer,[ˈsʌmə(r)],[ˈsʌmər],"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天",2年级下,2,下,人教版一年级起点二年级下.xlsx,19
autumn,autumn,[ˈɔːtəm],[ˈɔːtəm; ˈɑːtəm],"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的",2年级下,2,下,人教版一年级起点二年级下.xlsx,20
winter,winter,[ˈwɪntə(r)],[ˈwɪntər],"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬",2年级下,2,下,人教版一年级起点二年级下.xlsx,21
hot,hot,[hɒt],[hɑːt],"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热",2年级下,2,下,人教版一年级起点二年级下.xlsx,22
warm,warm,[wɔːm],[wɔːrm],"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖",2年级下,2,下,人教版一年级起点二年级下.xlsx,23
cool,cool,[kuːl],[kuːl],"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地",2年级下,2,下,人教版一年级起点二年级下.xlsx,24
cold,cold,[kəʊld],[kəʊld],"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地",2年级下,2,下,人教版一年级起点二年级下.xlsx,25
favourite,favourite,[ˈfeɪvərɪt],[ˈfeɪvərɪt],"n. 特别喜爱的人（或物）
adj. 特别受喜爱的",2年级下,2,下,人教版一年级起点二年级下.xlsx,26
season,season,[ˈsiːzn],[ˈsiːzn],"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥",2年级下,2,下,人教版一年级起点二年级下.xlsx,27
eleven,eleven,[ɪˈlev(ə)n],[ɪˈlevn],"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的",2年级下,2,下,人教版一年级起点二年级下.xlsx,28
twelve,twelve,[twelv],[twelv],"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的",2年级下,2,下,人教版一年级起点二年级下.xlsx,29
twenty,twenty,[ˈtwenti],[ˈtwenti],"num. 二十
n. 二十；二十年代
adj. 二十的",2年级下,2,下,人教版一年级起点二年级下.xlsx,30
thirty,thirty,[ˈθɜːti],[ˈθɜːrti],"num. 三十
n. 三十年代
adj. 三十个的",2年级下,2,下,人教版一年级起点二年级下.xlsx,31
forty,forty,[ˈfɔːti],[ˈfɔːrti],"n. 四十
adj. 四十的；四十个的",2年级下,2,下,人教版一年级起点二年级下.xlsx,32
fifty,fifty,[ˈfɪfti],[ˈfɪfti],"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的",2年级下,2,下,人教版一年级起点二年级下.xlsx,33
thirteen,thirteen,[ˌθɜːˈtiːn],[ˌθɜːrˈtiːn],"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的",2年级下,2,下,人教版一年级起点二年级下.xlsx,34
fourteen,fourteen,[ˌfɔːˈtiːn],[ˌfɔːrˈtiːn],"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪",2年级下,2,下,人教版一年级起点二年级下.xlsx,35
fifteen,fifteen,[ˌfɪfˈtiːn],[ˌfɪfˈtiːn],"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的",2年级下,2,下,人教版一年级起点二年级下.xlsx,36
time,time,[taɪm],[taɪm],"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度",2年级下,2,下,人教版一年级起点二年级下.xlsx,37
playtime,playtime,[ˈpleɪtaɪm],[ˈpleɪtaɪm],n. 游戏或娱乐的时间；开幕时刻,2年级下,2,下,人教版一年级起点二年级下.xlsx,38
get up,get up,[ɡet ʌp],[ɡet ʌp],na. 起床；起身；站起来；叫…起床,2年级下,2,下,人教版一年级起点二年级下.xlsx,39
eat breakfast,eat breakfast,[i:t ˈbrekfəst],[iːt ˈbrekfəst],吃早饭；吃早餐；食早餐,2年级下,2,下,人教版一年级起点二年级下.xlsx,40
go to school,go to school,,,na. 到校上课；上学去；开始求学,2年级下,2,下,人教版一年级起点二年级下.xlsx,41
eat lunch,eat lunch,,,吃午饭；吃午餐；吃中午饭,2年级下,2,下,人教版一年级起点二年级下.xlsx,42
go home,go home,,,na. 回家；〈口〉死；(忠告等)刻骨铭心；击中,2年级下,2,下,人教版一年级起点二年级下.xlsx,43
eat dinner,eat dinner,,,吃晚饭；吃晚餐；吃饭,2年级下,2,下,人教版一年级起点二年级下.xlsx,44
go to bed,go to bed,,,na. 睡；同床；【印】付印,2年级下,2,下,人教版一年级起点二年级下.xlsx,45
when,when,[wen],[wen],"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯",2年级下,2,下,人教版一年级起点二年级下.xlsx,46
every day,every day,,,na. 每日,2年级下,2,下,人教版一年级起点二年级下.xlsx,47
at,at,[ət],[ət; æt],"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）",2年级下,2,下,人教版一年级起点二年级下.xlsx,48
Sunday,Sunday,[ˈsʌndeɪ],[ˈsʌndeɪ],n. 星期日；礼拜日,2年级下,2,下,人教版一年级起点二年级下.xlsx,49
Monday,Monday,[ˈmʌndeɪ],[ˈmʌndeɪ],n. 星期一,2年级下,2,下,人教版一年级起点二年级下.xlsx,50
Tuesday,Tuesday,[ˈtjuːzdeɪ],[ˈtuːzdeɪ],n. 星期二,2年级下,2,下,人教版一年级起点二年级下.xlsx,51
Wednesday,Wednesday,[ˈwenzdeɪ],[ˈwenzdeɪ],n. 星期三,2年级下,2,下,人教版一年级起点二年级下.xlsx,52
Thursday,Thursday,[ˈθɜːzdeɪ],[ˈθɜːrzdeɪ],n. 星期四,2年级下,2,下,人教版一年级起点二年级下.xlsx,53
Friday,Friday,[ˈfraɪdeɪ],[ˈfraɪdeɪ],n. 星期五,2年级下,2,下,人教版一年级起点二年级下.xlsx,54
Saturday,Saturday,[ˈsætədeɪ],[ˈsætərdeɪ],n. 星期六,2年级下,2,下,人教版一年级起点二年级下.xlsx,55
today,today,[təˈdeɪ],[təˈdeɪ],"n. 今天；现今
adv. 今天；现今",2年级下,2,下,人教版一年级起点二年级下.xlsx,56
my,my,[maɪ],[maɪ],"pron. 我的
int. 哎呀（表示惊奇等）；喔唷",3年级上,3,上,人教版一年级起点三年级上.xlsx,2
your,your,[jɔː(r); jə(r)],[jʊr; jər],pron. 你的，你们的,3年级上,3,上,人教版一年级起点三年级上.xlsx,3
name,name,[neɪm],[neɪm],"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的",3年级上,3,上,人教版一年级起点三年级上.xlsx,4
new,new,[njuː],[nuː],"adj. 新的，新鲜的；更新的；初见的
adv. 新近",3年级上,3,上,人教版一年级起点三年级上.xlsx,5
year,year,[jɪə(r)],[jɪr],n. 年；年度；历年；年纪；一年的期间；某年级的学生,3年级上,3,上,人教版一年级起点三年级上.xlsx,6
old,old,[əʊld],[oʊld],"adj. 陈旧的，古老的；年老的
n. 古时",3年级上,3,上,人教版一年级起点三年级上.xlsx,7
how old,how old,,,conj. 多少岁,3年级上,3,上,人教版一年级起点三年级上.xlsx,8
class,class,[klɑːs],[klæs],"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）",3年级上,3,上,人教版一年级起点三年级上.xlsx,9
grade,grade,[ɡreɪd],[ɡreɪd],"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化",3年级上,3,上,人教版一年级起点三年级上.xlsx,10
age,age,[eɪdʒ],[eɪdʒ],"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老",3年级上,3,上,人教版一年级起点三年级上.xlsx,11
dear,dear,[dɪə(r)],[dɪr],"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀",3年级上,3,上,人教版一年级起点三年级上.xlsx,12
body,body,[ˈbɒdi],[ˈbɑːdi],"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体",3年级上,3,上,人教版一年级起点三年级上.xlsx,13
head,head,[hed],[hed],"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往",3年级上,3,上,人教版一年级起点三年级上.xlsx,14
hair,hair,[heə(r)],[her],"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维",3年级上,3,上,人教版一年级起点三年级上.xlsx,15
arm,arm,[ɑːm],[ɑːrm],"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来",3年级上,3,上,人教版一年级起点三年级上.xlsx,16
hand,hand,[hænd],[hænd],"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶",3年级上,3,上,人教版一年级起点三年级上.xlsx,17
leg,leg,[leɡ],[leɡ],n. 腿；支柱,3年级上,3,上,人教版一年级起点三年级上.xlsx,18
foot,foot,[fʊt],[fʊt],"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计",3年级上,3,上,人教版一年级起点三年级上.xlsx,19
feet,feet,[fiːt],[fiːt],n. 脚（foot的复数形式）；尺；韵脚,3年级上,3,上,人教版一年级起点三年级上.xlsx,20
the matter,the matter,,,有问题，有毛病,3年级上,3,上,人教版一年级起点三年级上.xlsx,21
hurt,hurt,[hɜːt],[hɜːrt],"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦",3年级上,3,上,人教版一年级起点三年级上.xlsx,22
help,help,[help],[help],"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待",3年级上,3,上,人教版一年级起点三年级上.xlsx,23
bad,bad,[bæd],[bæd],"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地",3年级上,3,上,人教版一年级起点三年级上.xlsx,24
bite,bite,[baɪt],[baɪt],"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛",3年级上,3,上,人教版一年级起点三年级上.xlsx,25
tongue,tongue,[tʌŋ],[tʌŋ],"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器",3年级上,3,上,人教版一年级起点三年级上.xlsx,26
kick,kick,[kɪk],[kɪk],"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲",3年级上,3,上,人教版一年级起点三年级上.xlsx,27
morning,morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],n. 早晨；黎明；初期,3年级上,3,上,人教版一年级起点三年级上.xlsx,28
afternoon,afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],n. 午后，下午,3年级上,3,上,人教版一年级起点三年级上.xlsx,29
summary,summary,[ˈsʌməri],[ˈsʌməri],"n. 概要，摘要，总结
adj. 简易的；扼要的",3年级上,3,上,人教版一年级起点三年级上.xlsx,30
face,face,[feɪs],[feɪs],"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",3年级上,3,上,人教版一年级起点三年级上.xlsx,31
eye,eye,[aɪ],[aɪ],"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看",3年级上,3,上,人教版一年级起点三年级上.xlsx,32
nose,nose,[nəʊz],[noʊz],"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问",3年级上,3,上,人教版一年级起点三年级上.xlsx,33
mouth,mouth,[maʊθ],[maʊθ],"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话",3年级上,3,上,人教版一年级起点三年级上.xlsx,34
ear,ear,[ɪə(r)],[ɪr],"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",3年级上,3,上,人教版一年级起点三年级上.xlsx,35
bread,bread,[bred],[bred],"n. 面包；生计
vt. 在…上洒面包屑",3年级上,3,上,人教版一年级起点三年级上.xlsx,36
cake,cake,[keɪk],[keɪk],"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状",3年级上,3,上,人教版一年级起点三年级上.xlsx,37
fruit,fruit,[fruːt],[fruːt],"n. 水果；产物
vt. 使……结果实
vi. 结果实",3年级上,3,上,人教版一年级起点三年级上.xlsx,38
ice-cream,ice-cream,[ˈaɪs kriːm],[ˈaɪs kriːm],"a. 冰淇淋的, 乳白色的",3年级上,3,上,人教版一年级起点三年级上.xlsx,39
potato,potato,[pəˈteɪtəʊ],[pəˈteɪtoʊ],n. [作物] 土豆，[作物] 马铃薯,3年级上,3,上,人教版一年级起点三年级上.xlsx,40
tomato,tomato,[təˈmɑːtəʊ],[təˈmeɪtoʊ],n. 番茄，西红柿,3年级上,3,上,人教版一年级起点三年级上.xlsx,41
meat,meat,[miːt],[miːt],n. 肉，肉类（食用）,3年级上,3,上,人教版一年级起点三年级上.xlsx,42
for,for,[fə(r)],[fər; fɔːr],"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为",3年级上,3,上,人教版一年级起点三年级上.xlsx,43
shopping list,shopping list,,,n. 购物单；采购单,3年级上,3,上,人教版一年级起点三年级上.xlsx,44
cola,cola,[ˈkəʊlə],[ˈkoʊlə],n. 可乐；可乐树（其子含咖啡碱）,3年级上,3,上,人教版一年级起点三年级上.xlsx,45
buy,buy,[baɪ],[baɪ],"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂",3年级上,3,上,人教版一年级起点三年级上.xlsx,46
rice,rice,[raɪs],[raɪs],"n. 稻；米饭
vt. 把…捣成米糊状",3年级上,3,上,人教版一年级起点三年级上.xlsx,47
noodles,noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],n. 面条，挂面（noodle的复数形式),3年级上,3,上,人教版一年级起点三年级上.xlsx,48
vegetables,vegetables,[ˈvedʒtəb(ə)lz],[ˈvedʒtəb(ə)lz],n. [园艺] 蔬菜（vegetable的复数形式）；菜类,3年级上,3,上,人教版一年级起点三年级上.xlsx,49
fish,fish,[fɪʃ],[fɪʃ],"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取",3年级上,3,上,人教版一年级起点三年级上.xlsx,50
chicken,chicken,[ˈtʃɪkɪn],[ˈtʃɪkɪn],"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",3年级上,3,上,人教版一年级起点三年级上.xlsx,51
egg,egg,[eɡ],[eɡ],"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿",3年级上,3,上,人教版一年级起点三年级上.xlsx,52
duck,duck,[dʌk],[dʌk],"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中",3年级上,3,上,人教版一年级起点三年级上.xlsx,53
chicken,chicken,[ˈtʃɪkɪn],[ˈtʃɪkɪn],"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",3年级上,3,上,人教版一年级起点三年级上.xlsx,54
rabbit,rabbit,[ˈræbɪt],[ˈræbɪt],"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔",3年级上,3,上,人教版一年级起点三年级上.xlsx,55
pet,pet,[pet],[pet],"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚",3年级上,3,上,人教版一年级起点三年级上.xlsx,56
snake,snake,[sneɪk],[sneɪk],"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进",3年级上,3,上,人教版一年级起点三年级上.xlsx,57
turtle,turtle,[ˈtɜːt(ə)l],[ˈtɜːrtl],n. 龟，甲鱼；海龟,3年级上,3,上,人教版一年级起点三年级上.xlsx,58
small,small,[smɔːl],[smɔːl],"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地",3年级上,3,上,人教版一年级起点三年级上.xlsx,59
long,long,[lɒŋ],[lɔːŋ],"n. 长时间；[语] 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终",3年级上,3,上,人教版一年级起点三年级上.xlsx,60
look for,look for,[ˈlʊk fɔː(r)],[ˈlʊk fɔːr],v. 寻找；探索；渴望；盼望,3年级上,3,上,人教版一年级起点三年级上.xlsx,61
tail,tail,[teɪl],[teɪl],"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小",3年级上,3,上,人教版一年级起点三年级上.xlsx,62
dance,dance,[dɑːns],[dæns],"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬",3年级上,3,上,人教版一年级起点三年级上.xlsx,63
cat,cat,[kæt],[kæt],n. 猫，猫科动物,3年级上,3,上,人教版一年级起点三年级上.xlsx,64
dog,dog,[dɒɡ],[dɔːɡ],"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随",3年级上,3,上,人教版一年级起点三年级上.xlsx,65
bird,bird,[bɜːd],[bɜːrd],"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟",3年级上,3,上,人教版一年级起点三年级上.xlsx,66
fish,fish,[fɪʃ],[fɪʃ],"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取",3年级上,3,上,人教版一年级起点三年级上.xlsx,67
monkey,monkey,[ˈmʌŋki],[ˈmʌŋki],"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄",3年级上,3,上,人教版一年级起点三年级上.xlsx,68
tiger,tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],n. 老虎；凶暴的人,3年级上,3,上,人教版一年级起点三年级上.xlsx,69
big,big,[bɪɡ],[bɪɡ],"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地",3年级上,3,上,人教版一年级起点三年级上.xlsx,70
short,short,[ʃɔːt],[ʃɔːrt],"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地",3年级上,3,上,人教版一年级起点三年级上.xlsx,71
cap,cap,[kæp],[kæp],"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意",3年级上,3,上,人教版一年级起点三年级上.xlsx,72
coat,coat,[kəʊt],[koʊt],"n. 外套
vt. 覆盖…的表面",3年级上,3,上,人教版一年级起点三年级上.xlsx,73
shoes,shoes,['ʃu:z],[ʃuːz],"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）",3年级上,3,上,人教版一年级起点三年级上.xlsx,74
sweater,sweater,[ˈswetə(r)],[ˈswetər],n. 毛线衣，运动衫；大量出汗的人，发汗剂,3年级上,3,上,人教版一年级起点三年级上.xlsx,75
jacket,jacket,[ˈdʒækɪt],[ˈdʒækɪt],"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；〈口〉打",3年级上,3,上,人教版一年级起点三年级上.xlsx,76
gloves,gloves,[ɡlʌvz],[ɡlʌvz],"n. [服装] 手套（glove的复数）
v. 给…戴手套（glove的三单形式）",3年级上,3,上,人教版一年级起点三年级上.xlsx,77
trousers,trousers,[ˈtraʊzəz],[ˈtraʊzərz],n. 裤子，长裤,3年级上,3,上,人教版一年级起点三年级上.xlsx,78
should,should,[ʃəd; ʃʊd],[ʃəd; ʃʊd],aux. 应该；就；可能；将要,3年级上,3,上,人教版一年级起点三年级上.xlsx,79
wear,wear,[weə(r)],[wer],"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露",3年级上,3,上,人教版一年级起点三年级上.xlsx,80
week,week,[wiːk],[wiːk],n. 周，星期,3年级上,3,上,人教版一年级起点三年级上.xlsx,81
soon,soon,[suːn],[suːn],adv. 快；不久，一会儿；立刻；宁愿,3年级上,3,上,人教版一年级起点三年级上.xlsx,82
look forward to,look forward to,,,na. 盼望,3年级上,3,上,人教版一年级起点三年级上.xlsx,83
T-shirt,T-shirt,[ˈtiː ʃɜːt],[ˈtiː ʃɜːrt],n. 短袖圆领汗衫,3年级上,3,上,人教版一年级起点三年级上.xlsx,84
shorts,shorts,[ʃɔːts],[ʃɔːrts],n. 短裤,3年级上,3,上,人教版一年级起点三年级上.xlsx,85
socks,socks,[sɒks],[sɑːks],n. 袜子（sock的复数）,3年级上,3,上,人教版一年级起点三年级上.xlsx,86
skirt,skirt,[skɜːt],[skɜːrt],"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕",3年级上,3,上,人教版一年级起点三年级上.xlsx,87
dress,dress,[dres],[dres],"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣",3年级上,3,上,人教版一年级起点三年级上.xlsx,88
shirt,shirt,[ʃɜːt],[ʃɜːrt],n. 衬衫；汗衫，内衣,3年级上,3,上,人教版一年级起点三年级上.xlsx,89
January,January,[ˈdʒænjuəri],[ˈdʒænjueri],n. 一月,3年级上,3,上,人教版一年级起点三年级上.xlsx,90
February,February,[ˈfebruəri],[ˈfebrueri],n. 二月,3年级上,3,上,人教版一年级起点三年级上.xlsx,91
March,March,[mɑːtʃ],[mɑːrtʃ],n. 三月,3年级上,3,上,人教版一年级起点三年级上.xlsx,92
April,April,[ˈeɪprəl],[ˈeɪprəl],n. 四月,3年级上,3,上,人教版一年级起点三年级上.xlsx,93
May,May,[meɪ],[meɪ],aux. 可以，能够；可能，也许；祝，愿；会，能,3年级上,3,上,人教版一年级起点三年级上.xlsx,94
June,June,[dʒuːn],[dʒuːn],n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,3年级上,3,上,人教版一年级起点三年级上.xlsx,95
July,July,[dʒʊˈlaɪ],[dʒʊˈlaɪ],n. 七月,3年级上,3,上,人教版一年级起点三年级上.xlsx,96
August,August,[ˈɔːɡəst],[ˈɔːɡəst],"n. 八月（简写为Aug）
adj. 威严的；令人敬畏的",3年级上,3,上,人教版一年级起点三年级上.xlsx,97
September,September,[sepˈtembə(r)],[sepˈtembər],n. 九月,3年级上,3,上,人教版一年级起点三年级上.xlsx,98
October,October,[ɒkˈtəʊbə(r)],[ɑːkˈtoʊbər],n. [天] 十月,3年级上,3,上,人教版一年级起点三年级上.xlsx,99
November,November,[nəʊˈvembə(r)],[noʊˈvembər],n. 十一月,3年级上,3,上,人教版一年级起点三年级上.xlsx,100
December,December,[dɪˈsembə(r)],[dɪˈsembər],n. 十二月,3年级上,3,上,人教版一年级起点三年级上.xlsx,101
birthday,birthday,[ˈbɜːθdeɪ],[ˈbɜːrθdeɪ],n. 生日，诞辰；诞生的日子,3年级上,3,上,人教版一年级起点三年级上.xlsx,102
first,first,[fɜːst],[fɜːrst],"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿",3年级上,3,上,人教版一年级起点三年级上.xlsx,103
party,party,[ˈpɑːti],[ˈpɑːrti],"n. 政党，党派；聚会，派对；当事人 [复数 parties]
vi. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]",3年级上,3,上,人教版一年级起点三年级上.xlsx,104
delicious,delicious,[dɪˈlɪʃəs],[dɪˈlɪʃəs],adj. 美味的；可口的,3年级上,3,上,人教版一年级起点三年级上.xlsx,105
Chinese,Chinese,[ˌtʃaɪˈniːz],[ˌtʃaɪˈniːz],"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的",3年级下,3,下,人教版一年级起点三年级下.xlsx,2
English,English,[ˈɪŋɡlɪʃ],[ˈɪŋɡlɪʃ],"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语",3年级下,3,下,人教版一年级起点三年级下.xlsx,3
science,science,[ˈsaɪəns],[ˈsaɪəns],n. 科学；技术；学科；理科,3年级下,3,下,人教版一年级起点三年级下.xlsx,4
PE,PE,[peɪ],[peɪ],abbr. 体育课，体能训练（physical education）,3年级下,3,下,人教版一年级起点三年级下.xlsx,5
music,music,[ˈmjuːzɪk],[ˈmjuːzɪk],n. 音乐，乐曲,3年级下,3,下,人教版一年级起点三年级下.xlsx,6
maths,maths,[mæθs],[mæθs],n. 数学（等于mathematics）,3年级下,3,下,人教版一年级起点三年级下.xlsx,7
art,art,[ɑːt],[ɑːrt],"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的",3年级下,3,下,人教版一年级起点三年级下.xlsx,8
computer class,computer class,,,计算机课；电脑班；电脑课,3年级下,3,下,人教版一年级起点三年级下.xlsx,9
we,we,[wi; wiː],[wi],pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人,3年级下,3,下,人教版一年级起点三年级下.xlsx,10
that,that,[ðæt],[ðæt],"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样",3年级下,3,下,人教版一年级起点三年级下.xlsx,11
classroom,classroom,[ˈklɑːsruːm],[ˈklæsruːm; ˈklæsrʊm],n. 教室,3年级下,3,下,人教版一年级起点三年级下.xlsx,12
library,library,[ˈlaɪbrəri; ˈlaɪbri],[ˈlaɪbreri],n. 图书馆，藏书室；文库,3年级下,3,下,人教版一年级起点三年级下.xlsx,13
